url,name,description,start_date,end_date,venue_name,venue_city,venue_state,yelp_labels,yelp_scores,event_text
https://www.eventbrite.com/e/oak-park-il-a-night-in-reserve-tickets-1981660959274,"Oak Park, IL - A Night in Reserve",A Night in Reserve: The 2026 Barrel Reserve Release Dinner,2026-03-03T19:00:00-06:00,2026-03-03T22:00:00-06:00,Cooper’s Hawk Winery & Restaurant,Oak Park,IL,"['Specialty Food', 'Bars', 'Wine & Spirits']","[0.803, 0.8, 0.66]","Categories: Specialty Food, Bars, Wine & Spirits"
https://www.eventbrite.com/e/candlelight-blood-moon-eclipse-full-moon-sound-bath-tickets-1982649741749,Candlelight Blood Moon Eclipse Full Moon Sound Bath,Join us for an intimate Candlelit Sound Bath beneath the powerful energy of the Blood Moon Eclipse.,2026-03-01T19:00:00-06:00,2026-03-01T20:00:00-06:00,1229 N North Branch St,Chicago,IL,"['Arts & Entertainment', 'Nightlife', 'Active Life']","[0.867, 0.741, 0.654]","Categories: Arts & Entertainment, Nightlife, Active Life"
https://www.eventbrite.com/e/byob-sip-paint-event-glow-in-the-dark-50-shades-of-color-tickets-1983379605792,"BYOB Sip & Paint Event - GLOW IN THE DARK ""50 Shades of Color"" Tickets, Friday, Feb 27 from 7 pm to 10 pm","Eventbrite - Chicago Sip & Paint presents BYOB Sip & Paint Event - GLOW IN THE DARK ""50 Shades of Color"" - Friday, February 27, 2026 at Sip & Paint, Chicago, IL. Find event and ticket information.",,,,,,"['Nightlife', 'Arts & Entertainment', 'Beer']","[0.966, 0.965, 0.953]","Categories: Nightlife, Arts & Entertainment, Beer"
https://www.eventbrite.com/e/long-story-short-stories-of-protest-tickets-1982804632030,"Long Story Short - Stories of Protest Tickets, Tuesday, Feb 24 from 6 pm to 9 pm","Eventbrite - Front Porch Arts Center presents Long Story Short - Stories of Protest - Tuesday, February 24, 2026 at Front Porch Arts Center, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Performing Arts', 'Event Planning & Services']","[0.989, 0.987, 0.914]","Categories: Arts & Entertainment, Performing Arts, Event Planning & Services"
https://www.eventbrite.com/e/wesos-chicago-the-lucky-no-tickets-1981495102191,"WESOS  Chicago: The Lucky No Tickets, Thursday, Feb 26 from 6:30 pm to 8:30 pm","Eventbrite - WESOS Network: Chicago presents WESOS  Chicago: The Lucky No - Thursday, February 26, 2026 at Cafe Con Leche, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Event Planning & Services', 'Performing Arts']","[0.959, 0.914, 0.909]","Categories: Arts & Entertainment, Event Planning & Services, Performing Arts"
https://www.eventbrite.com/e/afro-fusion-saturday-presents-made-in-ghana-feat-dj-bonsu-tickets-1982285509320,"Afro Fusion Saturday Presents   Made In Ghana Feat. DJ Bonsu Tickets, Saturday, Mar 7 at 11 pm to Sunday, Mar 8 at 5 am","Eventbrite - AFRO FUSION presents Afro Fusion Saturday Presents   Made In Ghana Feat. DJ Bonsu - Saturday, March 7, 2026 at Le Nocturne Chicago, Chicago, IL. Find event and ticket information.",,,,,,"['Nightlife', 'Arts & Entertainment', 'Performing Arts']","[0.988, 0.975, 0.974]","Categories: Nightlife, Arts & Entertainment, Performing Arts"
https://www.eventbrite.com/e/arab-socials-chicago-ramadan-iftar-dinner-2026-tickets-1981405778020,"Arab Socials Chicago Ramadan Iftar Dinner 2026 Tickets, Sunday, Mar 8 from 6:15 pm to 8:30 pm","Eventbrite - Arab Socials presents Arab Socials Chicago Ramadan Iftar Dinner 2026 - Sunday, March 8, 2026 at 4701 N Kedzie Ave, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Nightlife', 'Arts & Entertainment']","[0.919, 0.891, 0.862]","Categories: Event Planning & Services, Nightlife, Arts & Entertainment"
https://www.eventbrite.com/e/medtech-startups-investors-innovators-networking-event-chicago-tickets-1981331675377,"MedTech Startups, Investors, Innovators Networking Event Chicago Tickets, Tuesday, Feb 24, 2026 from 7 pm to 10 pm","Eventbrite - Business Minds Events presents MedTech Startups, Investors, Innovators Networking Event Chicago - Tuesday, 24 February 2026 at 25 S Halsted St, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Venues & Event Spaces', 'Nightlife']","[0.79, 0.75, 0.525]","Categories: Event Planning & Services, Venues & Event Spaces, Nightlife"
https://www.eventbrite.sg/e/effective-client-presentation-sales-pitching-1-day-trainingchicago-il-tickets-1831844168219,"Effective Client Presentation & Sales Pitching – 1 Day Training,Chicago, IL Tickets, Multiple dates","Eventbrite - Mangates presents Effective Client Presentation & Sales Pitching – 1 Day Training,Chicago, IL - Thursday, November 6, 2025 at Regus - Chicago - 111 W. Jackson, Chicago, IL. Find event and ticket information.",,,,,,"['Venues & Event Spaces', 'Theaters', 'Performing Arts']","[0.635, 0.48, 0.469]","Categories: Venues & Event Spaces, Theaters, Performing Arts"
https://www.eventbrite.com/e/2025-future-black-educators-scholarship-gala-tickets-1978360528597,"2025 Future Black Educators Scholarship Gala Tickets, Saturday, Feb 28 from 5 pm to 8:30 pm","Eventbrite - AFT - Chicago Black Caucus presents 2025 Future Black Educators Scholarship Gala - Saturday, February 28, 2026 at Chicago Teachers Union Foundation, Chicago, IL. Find event and ticket information.",,,,,,"['Education', 'Event Planning & Services', 'Active Life']","[0.977, 0.769, 0.611]","Categories: Education, Event Planning & Services, Active Life"
https://www.eventbrite.com/e/petals-power-the-vision-board-experience-tickets-1981251905784,"Petals & Power: The Vision Board Experience Tickets, Thursday, Feb 26 from 6 pm to 9 pm","Eventbrite - Vivian Moore presents Petals & Power: The Vision Board Experience - Thursday, February 26, 2026 at 1133 W 13th St, Chicago, IL. Find event and ticket information.",,,,,,"['Arts & Entertainment', 'Performing Arts', 'Event Planning & Services']","[0.955, 0.937, 0.877]","Categories: Arts & Entertainment, Performing Arts, Event Planning & Services"
https://www.eventbrite.com/e/illuminating-the-future-women-in-stem-summit-tickets-1980421050674,"Illuminating the Future - Women in STEM Summit Tickets, Saturday, Feb 28 from 9 am to 8 pm","Eventbrite - Society of Hispanic Professional Engineers at UIC presents Illuminating the Future - Women in STEM Summit - Saturday, February 28, 2026 at 940 W Harrison St, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Active Life', 'Venues & Event Spaces']","[0.774, 0.649, 0.573]","Categories: Event Planning & Services, Active Life, Venues & Event Spaces"
https://www.eventbrite.com/e/play-bigger-business-leadership-expansion-mastermind-tickets-1982975888262,"Play Bigger: Business & Leadership Expansion Mastermind Tickets, Tuesday, Feb 24 at 12 pm to Tuesday, Mar 3 at 1:30 pm","Eventbrite - Ashley Burnett presents Play Bigger: Business & Leadership Expansion Mastermind - Tuesday, February 24, 2026 at Online Event, Chicago, IL. Find event and ticket information.",,,,,,"['Event Planning & Services', 'Venues & Event Spaces', 'Active Life']","[0.845, 0.678, 0.653]","Categories: Event Planning & Services, Venues & Event Spaces, Active Life"
https://www.eventbrite.com/e/2026-lunar-new-year-celebration-dinner-tickets-1979408487069,"2026 Lunar New Year Celebration Dinner Tickets, Monday, Feb 23 from 5:30 pm to 9 pm","Eventbrite - Chicago Chinatown Chamber of Commerce presents 2026 Lunar New Year Celebration Dinner - Monday, February 23, 2026 at Phoenix Restaurant, Chicago, IL. Find event and ticket information.",,,,,,"['Restaurants', 'Arts & Entertainment', 'Nightlife']","[0.941, 0.828, 0.826]","Categories: Restaurants, Arts & Entertainment, Nightlife"
