url,name,description,classifier_input,start_date,end_date,venue_name,venue_city,venue_state,yelp_labels,yelp_scores,event_text
https://www.eventbrite.com/e/members-of-st-charles-singers-painter-tina-druce-hoffman-tickets-1645325204979,Members of  St. Charles Singers | Painter Tina Druce-Hoffman,"Rendezvous Arts brings music, art and people together to encourage conversations and connections that contribute to people’s lives. Join us!","Members of  St. Charles Singers | Painter Tina Druce-Hoffman. Rendezvous Arts brings music, art and people together to encourage conversations and connections that contribute to people’s lives. Join us!",2026-03-15T14:30:00-05:00,,Artifact Events,Chicago,IL,"['Arts & Entertainment', 'Performing Arts']","[0.981, 0.38]","Categories: Arts & Entertainment, Performing Arts"
https://www.eventbrite.com/e/refine-shine-resume-revisions-tickets-1533325240069,"Refine & Shine: Resume Revisions Tickets, Multiple Dates",,"Refine & Shine: Resume Revisions Tickets, Multiple Dates",,,,,,"['Event Planning & Services', 'Performing Arts', 'Venues & Event Spaces']","[0.896, 0.876, 0.835]","Categories: Event Planning & Services, Performing Arts, Venues & Event Spaces"
https://www.eventbrite.com/e/outpro-lgbtq-networking-at-industrious-chicago-tickets-1983044987941,"OutPro LGBTQ+ Networking at Industrious - Chicago Tickets, Thursday, Mar 19 from 6 pm to 9 pm",,"OutPro LGBTQ+ Networking at Industrious - Chicago Tickets, Thursday, Mar 19 from 6 pm to 9 pm",,,,,,"['Venues & Event Spaces', 'Nightlife']","[0.584, 0.397]","Categories: Venues & Event Spaces, Nightlife"
https://www.eventbrite.com/e/get-lucked-chicagos-biggest-st-patricks-day-party-tickets-1984395800257,"Get Lucked | Chicago's Biggest St. Patrick's Day Party Tickets, Saturday, Mar 14 from 8 am to 11:30 pm",,"Get Lucked | Chicago's Biggest St. Patrick's Day Party Tickets, Saturday, Mar 14 from 8 am to 11:30 pm",,,,,,"['Event Planning & Services', 'Arts & Entertainment', 'Venues & Event Spaces']","[0.703, 0.469, 0.422]","Categories: Event Planning & Services, Arts & Entertainment, Venues & Event Spaces"
https://www.eventbrite.com/e/st-patricks-day-lucky-charms-river-north-bar-crawl-morning-tickets-1481836465759,"St. Patrick's Day Lucky Charms River North Bar Crawl  | Morning Tickets, Saturday, Mar 14 from 9 am to 6 pm",,"St. Patrick's Day Lucky Charms River North Bar Crawl  | Morning Tickets, Saturday, Mar 14 from 9 am to 6 pm",,,,,,"['Bars', 'Nightlife', 'Arts & Entertainment']","[0.756, 0.409, 0.394]","Categories: Bars, Nightlife, Arts & Entertainment"
https://www.eventbrite.com/e/the-story-of-st-joseph-no-ordinary-joe-tickets-1984168928678,"The Story of St. Joseph: No Ordinary Joe Tickets, Thursday, Mar 12 from 6:15 pm to 8:30 pm",,"The Story of St. Joseph: No Ordinary Joe Tickets, Thursday, Mar 12 from 6:15 pm to 8:30 pm",,,,,,"['Performing Arts', 'Arts & Entertainment', 'Theaters']","[0.961, 0.915, 0.901]","Categories: Performing Arts, Arts & Entertainment, Theaters"
https://www.eventbrite.com/e/gotta-have-house-gospel-house-social-tickets-1984055621774,"GOTTA HAVE HOUSE Gospel House Social Tickets, Friday, Mar 13 from 7 pm to 11 pm",,"GOTTA HAVE HOUSE Gospel House Social Tickets, Friday, Mar 13 from 7 pm to 11 pm",,,,,,"['Music Venues', 'Venues & Event Spaces']","[0.699, 0.438]","Categories: Music Venues, Venues & Event Spaces"
https://www.eventbrite.com/e/vavoom-lagoon-burlesque-show-tickets-1982922306999,VaVoom Lagoon Burlesque Show,Presented by Vera Sporadica,VaVoom Lagoon Burlesque Show. Presented by Vera Sporadica,2026-03-20T19:30:00-05:00,,Trader Todd's,Chicago,IL,"['Arts & Entertainment', 'Performing Arts']","[0.97, 0.942]","Categories: Arts & Entertainment, Performing Arts"
https://www.eventbrite.com/e/sapori-presents-margerum-wine-dinner-tickets-1983395497324,"Sapori Presents Margerum Wine Dinner Tickets, Wednesday, Mar 25 from 6:30 pm to 9 pm",,"Sapori Presents Margerum Wine Dinner Tickets, Wednesday, Mar 25 from 6:30 pm to 9 pm",,,,,,"['Wine & Spirits', 'Arts & Entertainment', 'Nightlife']","[0.936, 0.669, 0.346]","Categories: Wine & Spirits, Arts & Entertainment, Nightlife"
https://www.eventbrite.com/e/in-person-class-authentic-dumplings-from-scratch-chicago-tickets-882620229867,"In-person class: Authentic Dumplings from Scratch (Chicago) Tickets, Multiple Dates",,"In-person class: Authentic Dumplings from Scratch (Chicago) Tickets, Multiple Dates",,,,,,"['Specialty Food', 'Education']","[0.973, 0.527]","Categories: Specialty Food, Education"
